n;frames
15;126
15;130
16;240
16;127
16;125
16;128
16;246
16;125
16;132
16;502
16;129
16;235
17;476
17;130
17;136
17;132
17;241
17;137
17;132
17;119
17;135
17;290
18;231
18;518
18;131
18;141
18;134
18;237
18;235
18;286
18;541
18;132
19;135
19;238
19;309
19;151
19;239
19;128
19;136
19;128
19;143
19;145
20;218
20;217
20;219
20;147
20;143
20;136
20;138
20;139
20;148
20;126
4;147
4;170
4;157
4;187
4;118
4;128
4;124
4;128
4;157
4;148
5;653
5;138
5;275
5;852
5;639
5;395
5;610
5;148
5;156
5;124
6;415
6;122
6;136
6;409
6;368
6;399
6;121
6;420
6;412
6;378
7;602
7;630
7;145
7;247
7;353
7;144
7;400
7;380
7;131
7;118
8;136
8;372
8;119
8;622
8;360
8;120
8;385
8;597
8;135
8;128
9;158
9;382
9;344
9;307
9;691
9;593
9;394
9;391
9;131
9;156
10;327
10;131
10;161
10;136
10;117
10;150
10;120
10;163
10;125
10;275
11;822
11;127
11;310
11;299
11;540
11;276
11;341
11;121
11;136
11;370
12;341
12;153
12;137
12;296
12;351
12;118
12;623
12;346
12;301
12;164
13;138
13;394
13;138
13;343
13;138
13;144
13;132
13;117
13;131
13;117
14;123
14;128
14;133
14;492
14;125
14;128
14;127
14;126
14;131
14;271
15;296
15;291
15;536
15;297
15;132
15;531
15;299
15;339
15;153
15;114
16;149
16;140
16;330
16;146
16;135
16;332
16;806
16;148
16;690
16;142
17;131
17;137
17;160
17;259
17;310
17;545
17;542
17;123
17;130
17;133
18;114
18;114
18;120
18;313
18;119
18;142
18;119
18;118
18;492
18;138
19;126
19;148
19;121
19;127
19;254
19;140
19;116
19;116
19;123
19;148
20;291
20;132
20;285
20;154
20;324
20;135
20;140
20;127
20;131
20;134
4;118
4;128
4;105
4;153
4;120
4;111
4;109
4;498
4;104
4;121
5;98
5;96
5;386
5;1011
5;509
5;103
5;576
5;374
5;101
5;92
6;91
6;450
6;443
6;628
6;409
6;550
6;456
6;96
6;103
6;324
7;408
7;101
7;96
7;106
7;110
7;101
7;367
7;96
7;111
7;95
8;105
8;408
8;119
8;93
8;405
8;101
8;295
8;124
8;376
8;549
9;97
9;391
9;102
9;401
9;409
9;124
9;103
9;98
9;569
9;576
10;95
10;110
10;393
10;89
10;339
10;106
10;417
10;117
10;99
10;301
11;100
11;362
11;98
11;96
11;564
11;538
11;92
11;96
11;507
11;382
12;378
12;487
12;105
12;89
12;86
12;611
12;299
12;350
12;521
12;105
13;375
13;95
13;89
13;468
13;107
13;110
13;112
13;109
13;284
13;106
14;97
14;488
14;104
14;96
14;99
14;465
14;338
14;125
14;98
14;360
15;362
15;324
15;106
15;315
15;106
15;132
15;304
15;456
15;316
15;309
16;348
16;337
16;90
16;108
16;113
16;111
16;115
16;109
16;111
16;116
17;105
17;101
17;104
17;87
17;375
17;107
17;106
17;95
17;92
17;100
18;347
18;89
18;83
18;85
18;87
18;91
18;86
18;374
18;88
18;83
19;91
19;89
19;91
19;90
19;88
19;95
19;91
19;92
19;96
19;93
20;107
20;97
20;89
20;102
20;99
20;89
20;103
20;98
20;128
20;92
4;290
4;233
4;268
4;244
4;308
4;252
4;374
4;288
4;336
4;846
5;273
5;234
5;283
5;264
5;133
5;118
5;120
5;114
5;317
5;308
6;253
6;234
6;124
6;130
6;126
6;134
6;296
6;314
6;584
6;282
7;239
7;212
7;130
7;135
7;218
7;121
7;192
7;163
7;221
7;237
8;137
8;171
8;214
8;143
8;258
8;203
8;285
8;186
8;237
8;277
9;293
9;235
9;168
9;296
9;190
9;543
9;136
9;215
9;131
9;140
10;139
10;143
10;144
10;143
10;149
10;146
10;134
10;281
10;141
10;131
11;139
11;139
11;128
11;157
11;145
11;155
11;132
11;133
11;122
11;136
12;136
12;247
12;137
12;519
12;134
12;139
12;142
12;143
12;131
12;131
13;145
13;127
13;497
13;130
13;144
13;129
13;228
13;140
13;136
13;137
14;141
14;131
14;160
14;134
14;126
14;139
14;131
14;147
14;141
14;141
15;146
15;136
15;143
15;149
15;140
15;152
15;148
15;151
15;142
15;175
16;132
16;146
16;150
16;151
16;137
16;143
16;151
16;146
16;143
16;149
17;153
17;139
17;154
17;145
17;157
17;146
17;143
17;187
17;137
17;145
18;156
18;295
18;155
18;162
18;158
18;145
18;136
18;134
18;148
18;141
19;138
19;137
19;152
19;149
19;136
19;143
19;148
19;137
19;149
19;139
20;153
20;132
20;139
20;150
20;248
20;144
20;158
20;164
20;132
20;147
4;199
4;260
4;1012
4;187
4;200
4;1839
4;197
4;226
4;389
4;1496
5;232
5;184
5;344
5;755
5;382
5;2092
5;236
5;216
5;209
5;221
6;786
6;235
6;222
6;361
6;331
6;1308
6;403
6;204
6;370
6;348
7;1366
7;233
7;373
7;190
7;188
7;380
7;355
7;183
7;656
7;373
8;201
8;335
8;212
8;190
8;219
8;199
8;320
8;203
8;2118
8;249
9;248
9;207
9;317
9;182
9;265
9;318
9;193
9;197
9;191
9;691
10;185
10;182
10;835
10;1639
10;1153
10;197
10;713
10;284
10;680
10;183
11;199
11;714
11;295
11;268
11;191
11;295
11;187
11;790
11;193
11;186
12;294
12;204
12;640
12;221
12;241
12;307
12;207
12;209
12;191
12;368
13;795
13;619
13;186
13;220
13;588
13;639
13;191
13;183
13;187
13;640
14;602
14;700
14;191
14;254
14;197
14;185
14;200
14;189
14;664
14;537
15;185
15;184
15;200
15;560
15;303
15;186
15;204
15;285
15;184
15;195
16;290
16;186
16;187
16;197
16;183
16;236
16;296
16;600
16;192
16;189
17;253
17;227
17;195
17;254
17;207
17;207
17;191
17;206
17;210
17;181
18;192
18;230
18;184
18;195
18;195
18;200
18;191
18;660
18;186
18;242
19;193
19;198
19;200
19;193
19;202
19;187
19;253
19;818
19;524
19;185
20;933
20;204
20;204
20;650
20;194
20;195
20;197
20;261
20;582
20;192
4;219
4;329
4;557
4;590
4;266
4;263
4;297
4;293
4;268
4;304
5;269
5;141
5;313
5;308
5;230
5;289
5;230
5;132
5;398
5;226
6;320
6;579
6;150
6;166
6;153
6;154
6;237
6;257
6;131
6;133
7;169
7;176
7;140
7;148
7;129
7;318
7;161
7;130
7;161
7;143
8;325
8;298
8;126
8;132
8;171
8;286
8;157
8;136
8;164
8;302
9;174
9;150
9;162
9;303
9;146
9;520
9;165
9;161
9;336
9;155
10;261
10;135
10;145
10;322
10;142
10;139
10;153
10;140
10;317
10;132
11;142
11;166
11;144
11;147
11;157
11;130
11;134
11;145
11;158
11;156
12;140
12;311
12;274
12;142
12;152
12;532
12;146
12;157
12;148
12;293
13;145
13;145
13;137
13;142
13;149
13;480
13;567
13;133
13;250
13;134
14;158
14;243
14;147
14;152
14;130
14;164
14;146
14;132
14;175
14;148
15;148
15;148
15;141
15;147
15;149
15;227
15;296
15;148
15;149
15;281
16;142
16;142
16;140
16;139
16;135
16;140
16;140
16;147
16;154
16;148
17;153
17;147
17;151
17;164
17;158
17;156
17;143
17;154
17;146
17;154
18;149
18;158
18;141
18;150
18;163
18;155
18;163
18;155
18;157
18;156
19;159
19;151
19;139
19;150
19;148
19;153
19;145
19;187
19;145
19;148
20;155
20;167
20;134
20;157
20;218
20;152
20;155
20;150
20;165
20;160
